check_in,check_out,nights,villa_name,platform
2022-11-22,2022-11-24,2,chandra,airbnb
2022-11-21,2022-11-22,1,chandra,airbnb
2022-11-19,2022-11-20,1,jala,airbnb
2022-11-18,2022-11-21,3,surya,airbnb
2022-11-16,2022-11-21,5,chandra,airbnb
2022-11-14,2022-11-17,3,surya,airbnb
2022-11-10,2022-11-14,4,surya,airbnb
2022-11-09,2022-11-16,7,jala,airbnb
2022-11-09,2022-11-10,1,surya,airbnb
2022-11-07,2022-11-09,2,surya,airbnb
2022-11-07,2022-11-09,2,jala,airbnb
2022-11-06,2022-11-07,1,surya,airbnb
2022-11-04,2022-11-05,1,surya,airbnb
2022-11-02,2022-11-03,1,surya,airbnb
2022-10-31,2022-11-02,2,surya,airbnb
2022-10-28,2022-10-30,2,jala,airbnb
2022-10-24,2022-10-26,2,chandra,airbnb
2022-10-26,2022-11-01,6,chandra,airbnb
2022-10-26,2022-10-31,5,surya,airbnb
2022-10-21,2022-10-22,1,jala,airbnb
2022-10-21,2022-10-23,2,surya,airbnb
2022-10-20,2022-10-21,1,surya,airbnb
2022-10-19,2022-10-21,2,jala,airbnb
2022-10-18,2022-10-20,2,surya,airbnb
2022-10-17,2022-10-19,2,chandra,airbnb
2022-10-16,2022-10-18,2,surya,airbnb
2022-10-14,2022-10-17,3,chandra,airbnb
2022-10-12,2022-10-14,2,chandra,airbnb
2022-10-12,2022-10-15,3,surya,airbnb
2022-10-12,2022-10-13,1,chandra,airbnb
2022-10-07,2022-10-10,3,chandra,airbnb
2022-10-05,2022-10-07,2,chandra,airbnb
2022-10-01,2022-10-05,4,chandra,airbnb
2022-09-29,2022-10-01,2,chandra,airbnb
2022-09-29,2022-10-10,11,surya,airbnb
2022-09-27,2022-09-28,1,jala,airbnb
2022-09-26,2022-09-27,1,jala,airbnb
2022-09-26,2022-09-27,1,chandra,airbnb
2022-09-22,2022-09-29,7,surya,airbnb
2022-09-21,2022-09-22,1,surya,airbnb
2022-09-20,2022-09-22,2,chandra,airbnb
2022-09-19,2022-09-20,1,jala,airbnb
2022-09-19,2022-09-20,1,chandra,airbnb
2022-09-17,2022-09-18,1,jala,airbnb
2022-09-17,2022-09-21,4,surya,airbnb
2022-09-15,2022-09-17,2,surya,airbnb
2022-09-15,2022-09-17,2,jala,airbnb
2022-09-15,2022-09-19,4,chandra,airbnb
2022-09-14,2022-09-15,1,surya,airbnb
2022-09-13,2022-09-14,1,surya,airbnb
2022-09-11,2022-09-15,4,jala,airbnb
2022-09-11,2022-09-13,2,surya,airbnb
2022-09-10,2022-09-11,1,surya,airbnb
2022-09-02,2022-09-03,1,chandra,airbnb
2022-08-31,2022-09-01,1,surya,airbnb
2022-08-30,2022-08-31,1,surya,airbnb
2022-08-30,2022-09-02,3,chandra,airbnb
2022-08-28,2022-08-29,1,chandra,airbnb
2022-08-26,2022-08-28,2,chandra,airbnb
2022-08-25,2022-08-28,3,jala,airbnb
2022-08-24,2022-08-25,1,jala,airbnb
2022-08-22,2022-08-23,1,surya,airbnb
2022-08-21,2022-08-22,1,surya,airbnb
2022-08-18,2022-08-19,1,jala,airbnb
2022-08-15,2022-08-18,3,chandra,airbnb
2022-08-14,2022-08-21,7,surya,airbnb
2022-08-13,2022-08-14,1,surya,airbnb
2022-08-13,2022-08-15,2,chandra,airbnb
2022-08-12,2022-08-13,1,chandra,airbnb
2022-08-11,2022-08-13,2,surya,airbnb
2022-08-08,2022-08-10,2,jala,airbnb
2022-08-07,2022-08-11,4,chandra,airbnb
2022-08-05,2022-08-07,2,chandra,airbnb
2022-08-03,2022-08-05,2,chandra,airbnb
2022-08-02,2022-08-03,1,chandra,airbnb
2022-07-31,2022-08-02,2,chandra,airbnb
2022-07-31,2022-08-04,4,surya,airbnb
2022-07-30,2022-07-31,1,jala,airbnb
2022-07-29,2022-07-31,2,chandra,airbnb
2022-07-27,2022-07-31,4,surya,airbnb
2022-07-26,2022-07-28,2,chandra,airbnb
2022-07-23,2022-07-26,3,jala,airbnb
2022-07-18,2022-07-22,4,chandra,airbnb
2022-07-18,2022-07-22,4,surya,airbnb
2022-07-14,2022-07-18,4,chandra,airbnb
2022-07-12,2022-07-18,6,surya,airbnb
2022-07-11,2022-07-14,3,chandra,airbnb
2022-07-10,2022-07-11,1,jala,airbnb
2022-07-09,2022-07-12,3,surya,airbnb
2022-07-05,2022-07-10,5,jala,airbnb
2022-07-05,2022-07-11,6,chandra,airbnb
2022-07-03,2022-07-05,2,chandra,airbnb
2022-07-01,2022-07-03,2,chandra,airbnb
2022-06-29,2022-07-01,2,chandra,airbnb
2022-06-27,2022-06-29,2,chandra,airbnb
2022-06-26,2022-06-27,1,chandra,airbnb
2022-06-26,2022-06-27,1,surya,airbnb
2022-06-24,2022-06-26,2,chandra,airbnb
2022-06-21,2022-06-25,4,surya,airbnb
2022-06-21,2022-06-24,3,chandra,airbnb
2022-06-20,2022-06-21,1,jala,airbnb
2022-06-18,2022-06-20,2,surya,airbnb
2022-06-18,2022-06-20,2,surya,airbnb
2022-06-16,2022-06-18,2,surya,airbnb
2022-06-15,2022-06-16,1,surya,airbnb
2022-06-13,2022-06-16,3,chandra,airbnb
2022-06-13,2022-06-15,2,surya,airbnb
2022-06-12,2022-06-13,1,chandra,airbnb
2022-06-12,2022-06-13,1,jala,airbnb
2022-06-07,2022-06-11,4,surya,airbnb
2022-06-06,2022-06-12,6,chandra,airbnb
2022-06-05,2022-06-06,1,chandra,airbnb
